epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,3315.49,1.20236,0.57908,1.07742,0.97215,0.97348,0.97148,0.68737,0.32234,0.20844,0.34677,0.0069682,0.0069682,0.0069682
114,3341.94,1.32645,0.60869,1.12509,0.97996,0.97401,0.97969,0.69427,0.32017,0.18281,0.34572,0.00692031,0.00692031,0.00692031
115,3367.65,1.22141,0.58833,1.07249,0.98384,0.98008,0.98012,0.69415,0.32321,0.165,0.34609,0.00687222,0.00687222,0.00687222
116,3392.02,1.17762,0.58025,1.06082,0.98317,0.9761,0.98132,0.70204,0.32358,0.16206,0.34614,0.00682392,0.00682392,0.00682392
117,3414.34,1.19823,0.58061,1.04256,0.98034,0.9761,0.98156,0.70773,0.32325,0.16197,0.34509,0.00677543,0.00677543,0.00677543
118,3437.31,1.16763,0.54423,1.05511,0.98776,0.98008,0.98415,0.71225,0.31829,0.17661,0.34456,0.00672675,0.00672675,0.00672675
119,3460.57,1.28432,0.58568,1.08382,0.98405,0.98307,0.98451,0.71148,0.31795,0.17811,0.34395,0.00667789,0.00667789,0.00667789
120,3483.43,1.16383,0.60229,1.01674,0.98398,0.98008,0.98133,0.71444,0.31565,0.15701,0.34265,0.00662885,0.00662885,0.00662885
121,3506.75,1.31149,0.6016,1.14539,0.98776,0.98406,0.98816,0.71514,0.31693,0.14588,0.34263,0.00657963,0.00657963,0.00657963
122,3529.55,1.1353,0.57712,1.06691,0.984,0.98006,0.98746,0.71456,0.31343,0.15785,0.34255,0.00653025,0.00653025,0.00653025
123,3553.48,1.1709,0.60163,1.05774,0.98372,0.98008,0.98685,0.71589,0.31115,0.13804,0.34197,0.00648071,0.00648071,0.00648071
124,3577,1.1875,0.57695,1.04199,0.98378,0.98008,0.98733,0.72165,0.31176,0.13677,0.34188,0.00643101,0.00643101,0.00643101
125,3600.69,1.15274,0.54709,1.04955,0.9838,0.98008,0.98627,0.72116,0.30582,0.13638,0.34107,0.00638115,0.00638115,0.00638115
126,3624.75,1.15019,0.56288,1.0515,0.98385,0.98008,0.98603,0.71943,0.30777,0.14389,0.34174,0.00633115,0.00633115,0.00633115
127,3650.32,1.23929,0.5866,1.06495,0.98362,0.98008,0.98687,0.72089,0.30993,0.15145,0.34179,0.00628101,0.00628101,0.00628101
128,3676.54,1.168,0.55755,1.05734,0.98378,0.98008,0.98556,0.7223,0.30869,0.14423,0.34233,0.00623074,0.00623074,0.00623074
129,3701.69,1.17779,0.59044,1.04843,0.98284,0.98008,0.9862,0.72592,0.30564,0.13566,0.34141,0.00618034,0.00618034,0.00618034
130,3727.98,1.16692,0.57928,1.0326,0.98278,0.98008,0.98588,0.72805,0.30576,0.138,0.34138,0.00612981,0.00612981,0.00612981
131,3756.31,1.15781,0.59702,1.03218,0.98399,0.97973,0.98647,0.72749,0.30368,0.13683,0.34082,0.00607916,0.00607916,0.00607916
132,3786.12,1.21893,0.56853,1.10291,0.984,0.97991,0.98511,0.72162,0.30219,0.13793,0.34026,0.0060284,0.0060284,0.0060284
133,3814.8,1.12226,0.54868,1.02695,0.98,0.97602,0.97988,0.72007,0.30066,0.13671,0.34009,0.00597754,0.00597754,0.00597754
134,3845.84,1.19225,0.56142,1.06001,0.984,0.97989,0.98563,0.72796,0.30038,0.13558,0.33983,0.00592657,0.00592657,0.00592657
135,3872.03,1.13281,0.55174,1.04733,0.97999,0.9755,0.97978,0.73194,0.29921,0.15093,0.33894,0.00587551,0.00587551,0.00587551
136,3885.91,1.16702,0.56234,1.02912,0.984,0.98004,0.98526,0.73622,0.2957,0.14788,0.33791,0.00582435,0.00582435,0.00582435
137,3911.14,1.10833,0.57019,1.04776,0.98364,0.98008,0.98607,0.73978,0.2961,0.14916,0.33863,0.00577311,0.00577311,0.00577311
138,3943.68,1.08844,0.53168,1.03904,0.98399,0.97944,0.98598,0.74119,0.29737,0.16073,0.33887,0.00572179,0.00572179,0.00572179
139,3975.54,1.0868,0.52832,0.99835,0.98705,0.98406,0.98663,0.7425,0.29875,0.16864,0.33869,0.0056704,0.0056704,0.0056704
140,4018.26,1.14483,0.60388,1.02033,0.98713,0.98406,0.98627,0.73832,0.29907,0.15272,0.33912,0.00561894,0.00561894,0.00561894
141,4112.52,1.0796,0.51381,0.99264,0.98706,0.98406,0.9855,0.73305,0.29996,0.15247,0.33914,0.00556742,0.00556742,0.00556742
142,4140.06,1.15421,0.58321,1.08132,0.98718,0.98406,0.98386,0.73272,0.30099,0.1522,0.33894,0.00551584,0.00551584,0.00551584
143,4175.72,1.15175,0.53779,1.04761,0.98313,0.98008,0.98548,0.7367,0.29827,0.15619,0.33829,0.00546421,0.00546421,0.00546421
144,4199.69,1.17469,0.58945,1.09413,0.98331,0.98008,0.9845,0.73426,0.29918,0.15726,0.33829,0.00541253,0.00541253,0.00541253
145,4223.78,1.12819,0.52552,1.04982,0.97962,0.9761,0.98237,0.73647,0.29731,0.15456,0.33826,0.00536081,0.00536081,0.00536081
146,4248.27,1.05674,0.54073,1.02887,0.98,0.97604,0.98013,0.73679,0.29737,0.15405,0.33842,0.00530906,0.00530906,0.00530906
147,4272.04,1.14985,0.53116,1.03255,0.98382,0.98008,0.98412,0.73444,0.29686,0.14611,0.33807,0.00525728,0.00525728,0.00525728
148,4295.21,1.13653,0.52205,1.04517,0.98374,0.98008,0.98544,0.7364,0.29607,0.13872,0.33795,0.00520548,0.00520548,0.00520548
149,4317.85,1.10675,0.51884,1.0167,0.98771,0.98406,0.98596,0.73645,0.29614,0.13473,0.33814,0.00515366,0.00515366,0.00515366
150,4340.74,1.10077,0.53072,1.0413,0.98373,0.98008,0.9841,0.7354,0.29529,0.13321,0.33807,0.00510184,0.00510184,0.00510184
151,4362.97,1.10243,0.53394,1.04706,0.98371,0.98008,0.98399,0.74008,0.29487,0.13294,0.33767,0.00505,0.00505,0.00505
152,4385.39,1.10516,0.51861,1.04822,0.98364,0.98008,0.98425,0.74244,0.29376,0.12976,0.33747,0.00499816,0.00499816,0.00499816
153,4407.87,1.1092,0.5064,1.04139,0.98359,0.98008,0.98413,0.74208,0.29119,0.1278,0.33675,0.00494634,0.00494634,0.00494634
154,4430.63,1.12446,0.52213,1.05793,0.98355,0.98008,0.98434,0.74524,0.29064,0.12847,0.33681,0.00489452,0.00489452,0.00489452
155,4452.8,1.08946,0.5368,1.04058,0.98353,0.98008,0.98426,0.74608,0.28864,0.12938,0.33623,0.00484272,0.00484272,0.00484272
156,4476.73,1.14035,0.5695,1.02912,0.98349,0.98008,0.98404,0.74552,0.28712,0.12883,0.33603,0.00479094,0.00479094,0.00479094
157,4502.45,1.00534,0.51449,0.99319,0.98344,0.98008,0.98507,0.74513,0.28663,0.12754,0.33557,0.00473919,0.00473919,0.00473919
158,4529.24,1.10361,0.51679,1.0379,0.98351,0.98008,0.98506,0.7424,0.28627,0.12612,0.33534,0.00468747,0.00468747,0.00468747
159,4556.33,1.11925,0.52822,1.04911,0.98346,0.98008,0.98543,0.74692,0.28455,0.12536,0.335,0.00463579,0.00463579,0.00463579
