epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,6830.65,0.89039,0.4019,1.09072,0.98063,0.98952,0.99423,0.80302,0.75461,0.31322,1.04608,0.00510184,0.00510184,0.00510184
151,6877.65,0.89199,0.41472,1.09985,0.97842,0.99023,0.99424,0.80427,0.75353,0.31343,1.04544,0.00505,0.00505,0.00505
152,6924.29,0.88913,0.40816,1.09912,0.97878,0.99023,0.99424,0.80436,0.7525,0.31264,1.04471,0.00499816,0.00499816,0.00499816
153,6971.21,0.86582,0.40231,1.07691,0.97842,0.99023,0.99424,0.80462,0.7521,0.31225,1.0446,0.00494634,0.00494634,0.00494634
154,7019.04,0.87837,0.40604,1.08656,0.97854,0.99023,0.99422,0.80447,0.75132,0.31233,1.04399,0.00489452,0.00489452,0.00489452
155,7066.04,0.89011,0.39973,1.09516,0.97847,0.99023,0.99423,0.80507,0.75043,0.31197,1.04348,0.00484272,0.00484272,0.00484272
156,7113.66,0.85595,0.38449,1.07763,0.97897,0.99023,0.99421,0.80536,0.74876,0.31157,1.04266,0.00479094,0.00479094,0.00479094
157,7160.97,0.86059,0.39859,1.07856,0.97911,0.99023,0.99421,0.80573,0.74796,0.31137,1.04219,0.00473919,0.00473919,0.00473919
158,7208.72,0.87347,0.40363,1.08682,0.97951,0.99023,0.99422,0.80648,0.7472,0.31112,1.04167,0.00468747,0.00468747,0.00468747
159,7256.68,0.88414,0.39811,1.09501,0.97931,0.99023,0.9942,0.80667,0.74605,0.31106,1.04118,0.00463579,0.00463579,0.00463579
160,7303.99,0.85955,0.40086,1.06237,0.97927,0.99023,0.9942,0.80625,0.7452,0.31047,1.0408,0.00458416,0.00458416,0.00458416
161,7350.28,0.86584,0.39313,1.06647,0.97965,0.99023,0.9942,0.80716,0.7443,0.3101,1.04034,0.00453258,0.00453258,0.00453258
162,7396.42,0.85617,0.38995,1.06618,0.97969,0.99023,0.9942,0.80855,0.74317,0.30985,1.03963,0.00448106,0.00448106,0.00448106
163,7434.8,0.85983,0.39728,1.08172,0.97991,0.99023,0.9942,0.80928,0.74224,0.30922,1.0391,0.0044296,0.0044296,0.0044296
164,7481.45,0.86717,0.39607,1.07803,0.97987,0.99023,0.99419,0.80922,0.74142,0.3087,1.03865,0.00437821,0.00437821,0.00437821
165,7527.81,0.85862,0.39513,1.08,0.97998,0.99023,0.9942,0.80861,0.74077,0.30845,1.03808,0.00432689,0.00432689,0.00432689
166,7574.27,0.84015,0.38778,1.05695,0.97998,0.99023,0.99421,0.80934,0.73977,0.30879,1.03763,0.00427565,0.00427565,0.00427565
167,7621.44,0.85891,0.38793,1.07719,0.98009,0.99023,0.99419,0.8096,0.7387,0.30835,1.03714,0.00422449,0.00422449,0.00422449
168,7668.62,0.85878,0.39863,1.08707,0.98066,0.99088,0.99418,0.80924,0.7382,0.30786,1.0367,0.00417343,0.00417343,0.00417343
169,7715.46,0.85954,0.38885,1.0781,0.98066,0.99088,0.99417,0.81004,0.73727,0.30734,1.0363,0.00412246,0.00412246,0.00412246
170,7762.54,0.85069,0.38958,1.07118,0.98066,0.99109,0.99419,0.81064,0.73625,0.30711,1.03579,0.0040716,0.0040716,0.0040716
171,7809.61,0.82469,0.38305,1.05118,0.98066,0.99107,0.99417,0.81074,0.73603,0.30653,1.03541,0.00402084,0.00402084,0.00402084
172,7856.75,0.84018,0.3857,1.07824,0.98066,0.99084,0.99418,0.81046,0.73515,0.30616,1.0347,0.00397019,0.00397019,0.00397019
173,7903.94,0.84101,0.38361,1.06209,0.98067,0.99131,0.99415,0.81105,0.73414,0.30615,1.03446,0.00391966,0.00391966,0.00391966
174,7950.93,0.83163,0.38306,1.06851,0.98051,0.99131,0.99417,0.81077,0.73335,0.3061,1.03392,0.00386926,0.00386926,0.00386926
175,7997.92,0.83407,0.38131,1.07327,0.98047,0.99131,0.99415,0.81153,0.7324,0.30557,1.03334,0.00381899,0.00381899,0.00381899
176,8044.66,0.84923,0.38989,1.07458,0.98046,0.99131,0.99414,0.81235,0.73173,0.30505,1.03292,0.00376885,0.00376885,0.00376885
177,8092.01,0.82936,0.37978,1.06711,0.98045,0.99131,0.99414,0.81308,0.73096,0.30515,1.03248,0.00371885,0.00371885,0.00371885
178,8138.84,0.8065,0.37717,1.04061,0.98075,0.99131,0.99413,0.81305,0.72997,0.305,1.0322,0.00366899,0.00366899,0.00366899
179,8186.35,0.83482,0.38728,1.06559,0.98087,0.99131,0.99414,0.81322,0.72923,0.30395,1.03169,0.00361929,0.00361929,0.00361929
